5,8,19,25,28	3,81,6,11,16,26
1,44,5,6,7,23 4,5
08,11,12,23,25 08,10
04,10,24,26,31  04,06
01,02,10,11,13  06,09
03,15,16,24,31  09,10
05,06,21,22,30  01,08
05,17,22,24,25  02,06
02,09,26,27,33  01,03
05,07,17,19,34  05,09
06,20,25,29,32  04,11
01,04,23,30,33  03,11
08,12,14,17,27  05,10
06,10,21,30,31  01,08
01,09,10,13,24  09,10
02,13,17,22,27  02,11
01,02,24,25,33  03,11
11,22,26,32,33  05,07
02,08,12,28,30  03,06
06,17,19,23,30  02,10
11,15,29,31,33  01,08
05,06,18,22,31  06,11
01,09,14,17,33  02,07
04,05,10,12,26  03,08
06,10,25,31,34  03,11
08,12,30,31,32  03,05
02,22,23,28,33  04,10
01,11,14,23,33  08,10
13,16,18,21,32  03,04
09,10,19,22,25  01,10
01,07,22,24,26  05,08
01,12,17,19,28  02,09
02,12,19,21,32  04,11
13,21,24,27,34  03,06
13,17,23,31,33  05,10
01,22,28,30,31  03,06
01,12,21,22,28  08,10
04,09,25,28,31  06,09
04,05,29,30,34  02,06
01,11,16,19,27  05,09
07,09,12,13,17  01,09
01,19,21,27,30  01,07
11,15,16,30,34  02,03
05,10,16,21,22  02,05
02,03,04,21,28  02,06
05,16,24,29,32  05,06
01,05,10,14,27  09,11
08,15,24,30,34  08,10
08,22,23,27,34  01,07
03,17,23,26,30  07,09
14,16,18,31,32  05,07
01,15,19,26,28  06,07
04,16,18,23,28  04,09
06,09,23,31,32  05,09
04,10,14,24,29  01,04
12,15,17,19,23  05,07
06,13,26,27,30  02,11
02,04,13,14,27  04,05
03,06,13,18,32  04,11
03,08,15,19,32  05,07
04,15,18,24,26  04,07
09,16,17,18,32  02,06
08,18,22,24,25  02,07
03,05,07,26,28  05,11
02,04,10,30,32  08,11
10,19,21,28,31  06,07
01,14,20,27,31  06,07
04,08,16,20,21  03,04
03,05,14,22,25  03,09
11,14,19,21,29  05,06
07,08,15,17,34  04,11
05,23,28,33,34  04,07
12,16,19,29,34  05,08
04,06,13,20,30  02,10
01,05,18,30,33  04,05
16,20,21,30,34  05,10
01,02,03,10,18  04,06
01,19,26,27,30  09,11
04,08,15,16,24  08,10
18,26,27,29,32  01,04
06,12,14,22,29  09,10
03,06,07,19,32  03,06
01,06,08,14,34  06,07
09,20,24,33,34  05,10
02,07,11,27,31  09,10
05,16,18,21,31  04,05
01,04,06,12,32  08,11
08,11,13,17,25  04,06
12,13,18,27,28  01,09
15,17,23,24,29  06,11
08,12,14,15,17  05,09
03,04,09,11,18  04,11
10,13,27,29,30  09,11
06,14,21,24,26  06,11
05,06,07,13,34  03,08
04,08,12,19,21  09,10
06,15,19,23,30  03,04
02,04,16,23,25  04,11
05,19,22,25,31  05,10
02,04,18,24,32  07,08
02,06,17,18,28  04,10
03,12,20,22,23  06,10
04,07,09,12,13  01,09
02,11,12,14,19  03,06
